item_idx,congestion,dP,dV
8,5.0,-0.09999999999999964,0.0
2,3.0,0.0,0.0
1,3.0,0.0,0.0
9,7.0,1.8999999999999995,0.0
7,7.0,-0.8000000000000007,3.0
29,11.0,0.9000000000000004,3.0
36,6.0,-1.0499999999999998,0.0
41,6.0,-0.9500000000000002,0.0
32,8.0,-1.1999999999999993,0.0
34,9.0,1.049999999999999,0.0
43,5.0,-2.3500000000000005,-3.0
38,6.0,-0.6000000000000005,0.0
39,4.0,-1.1500000000000001,0.0
33,12.0,0.8499999999999996,0.0
30,9.0,-1.4500000000000002,0.0
42,5.0,-1.9000000000000004,0.0
14,3.0,0.0,3.0
15,10.0,0.14999999999999947,3.0
9,6.0,-1.0,0.0
20,6.0,-2.0500000000000007,0.0
19,11.0,-0.5,0.0
33,7.0,-1.3999999999999995,0.0
42,2.0,-0.15000000000000002,0.0
36,2.0,0.3500000000000001,3.0
37,4.0,-0.10000000000000009,3.0
43,4.0,-0.20000000000000018,0.0
41,1.0,0.0,0.0
