item_idx,congestion,dP,dV,grid_size,num_players
8,5.0,-0.0999999999999996,0.0,10,80
2,3.0,0.0,0.0,10,80
1,3.0,0.0,0.0,10,80
9,7.0,1.9,0.0,10,80
7,7.0,-0.8000000000000007,3.0,10,80
29,11.0,0.9000000000000004,3.0,10,80
36,6.0,-1.0499999999999998,0.0,10,80
41,6.0,-0.9500000000000002,0.0,10,80
32,8.0,-1.1999999999999993,0.0,10,80
34,9.0,1.049999999999999,0.0,10,80
43,5.0,-2.3500000000000005,-3.0,10,80
38,6.0,-0.6000000000000005,0.0,10,80
39,4.0,-1.15,0.0,10,80
33,12.0,0.8499999999999996,0.0,10,80
30,9.0,-1.4500000000000002,0.0,10,80
42,5.0,-1.9000000000000004,0.0,10,80
14,3.0,0.0,3.0,10,80
15,10.0,0.1499999999999994,3.0,10,80
9,6.0,-1.0,0.0,10,80
20,6.0,-2.0500000000000007,0.0,10,80
19,11.0,-0.5,0.0,10,80
33,7.0,-1.3999999999999997,0.0,10,80
42,2.0,-0.15,0.0,10,80
36,2.0,0.3500000000000001,3.0,10,80
37,4.0,-0.1,3.0,10,80
43,4.0,-0.2000000000000001,0.0,10,80
41,1.0,0.0,0.0,10,80
2,8.0,-0.8499999999999996,0.0,5,20
0,5.0,-0.9500000000000002,0.0,5,20
1,8.0,1.0,-3.0,5,20
2,5.0,-0.75,0.0,5,20
1,2.0,-1.5499999999999998,0.0,5,20
0,2.0,-1.0499999999999998,0.0,5,20
4,7.0,1.0,0.0,5,20
4,6.0,-3.000000000000001,0.0,5,20
2,2.0,0.0,-6.0,5,20
5,7.0,-1.2500000000000009,0.0,5,20
1,5.0,-2.1,0.0,5,20
0,3.0,-1.25,0.0,5,20
10,3.0,-1.1000000000000003,0.0,5,20
7,12.0,0.0500000000000007,0.0,5,20
2,3.0,0.2000000000000001,0.0,5,20
9,3.0,0.5500000000000007,3.0,5,20
0,4.0,-0.0500000000000007,3.0,5,20
4,6.0,0.200000000000001,0.0,5,20
6,7.0,-0.4500000000000002,0.0,5,20
2,4.0,-1.3500000000000003,0.0,5,20
3,4.0,-0.75,0.0,5,20
1,3.0,0.9500000000000002,3.0,5,20
0,7.0,-1.4000000000000004,0.0,5,20
6,6.0,-1.3999999999999997,3.0,5,20
5,9.0,-1.799999999999999,0.0,5,20
5,8.0,-0.5999999999999996,0.0,5,20
1,5.0,-1.6999999999999993,0.0,5,20
6,10.0,0.1999999999999993,0.0,5,20
4,8.0,-0.8499999999999996,0.0,5,20
0,4.0,-0.6999999999999997,0.0,5,20
8,11.0,0.200000000000001,3.0,5,20
23,1.0,-1.25,0.0,7,40
20,7.0,-1.8000000000000007,0.0,7,40
19,4.0,-1.9000000000000004,0.0,7,40
16,7.0,-0.5500000000000007,3.0,7,40
13,9.0,0.25,3.0,7,40
24,3.0,-0.5,0.0,7,40
22,1.0,0.0,0.0,7,40
2,6.0,-0.4000000000000003,0.0,7,40
10,3.0,-2.0000000000000004,-3.0,7,40
9,6.0,-0.7999999999999998,0.0,7,40
2,9.0,-1.0,0.0,7,40
8,11.0,0.3999999999999994,3.0,7,40
3,8.0,0.3000000000000007,-1.0,7,40
7,12.0,-0.3000000000000007,0.0,7,40
17,4.0,-1.75,0.0,7,40
6,6.0,0.5,0.0,7,40
8,8.0,-0.3000000000000007,0.0,7,40
7,10.0,0.3500000000000005,0.0,7,40
5,6.0,-1.5,0.0,7,40
0,6.0,0.2999999999999998,0.0,7,40
13,9.0,-0.0499999999999998,3.0,7,40
12,10.0,0.5499999999999989,-3.0,7,40
15,10.0,0.4499999999999993,-1.0,7,40
4,10.0,-1.3999999999999986,0.0,7,40
5,8.0,0.4000000000000003,3.0,7,40
8,8.0,-0.1500000000000003,3.0,7,40
1,6.0,-0.8499999999999996,-3.0,7,40
4,5.0,-0.75,0.0,7,40
3,8.0,0.200000000000001,0.0,7,40
5,8.0,-1.299999999999999,0.0,7,40
29,7.0,-0.5999999999999996,0.0,8,52
28,2.0,0.0,0.0,8,52
24,6.0,-1.5499999999999998,0.0,8,52
16,10.0,0.6999999999999993,0.0,8,52
11,11.0,0.0,0.0,8,52
21,11.0,-1.8499999999999996,0.0,8,52
20,10.0,-1.0500000000000007,-3.0,8,52
15,6.0,0.2999999999999998,0.0,8,52
14,10.0,0.29999999999999893,0.0,8,52
11,8.0,-1.6000000000000014,6.0,8,52
0,6.0,-0.5500000000000007,0.0,8,52
9,10.0,-0.4499999999999993,3.0,8,52
15,12.0,-0.14999999999999858,3.0,8,52
4,9.0,-1.25,3.0,8,52
10,10.0,-1.3499999999999996,0.0,8,52
16,10.0,0.8499999999999996,0.0,8,52
8,7.0,-0.45000000000000107,0.0,8,52
14,9.0,0.5500000000000007,0.0,8,52
10,5.0,-1.7000000000000002,0.0,8,52
7,3.0,0.0,0.0,8,52
18,9.0,-0.5,0.0,8,52
14,7.0,-0.4500000000000002,0.0,8,52
13,7.0,-0.6000000000000005,0.0,8,52
11,4.0,-0.39999999999999947,0.0,8,52
9,5.0,0.8500000000000005,3.0,8,52
